Start	Stop	Orientation	Length	LocusID	Class	Product	Note	SignalPeptide
1358083	1359336	+	1254	Amuc_1136	CDS	hypothetical protein	-	-
1359326	1360516	+	1191	Amuc_1137	CDS	hypothetical protein	-	-
1360682	1361275	+	594	Amuc_1138	CDS	hypothetical protein	KEGG: afw:Anae109_2699 response regulator receiver	-
1361297	1362100	+	804	Amuc_1139	CDS	hypothetical protein	-	-
1362134	1363177	+	1044	Amuc_1140	CDS	hypothetical protein	KEGG: mlo:mlr8126 hypothetical protein	-
1363174	1363959	+	786	Amuc_1141	CDS	glycosyl transferase family 11	PFAM: glycosyl transferase family 11; KEGG: tel:tll0994 alpha-1,2-fucosyltransferase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.795) with cleavage site probability 0.710 at residue 40
1363989	1365677	+	1689	Amuc_1142	CDS	Glycosyl transferase, family 31	PFAM: Glycosyl transferase, family 31; KEGG: jan:Jann_3266 hypothetical protein	-
1365798	1371773	+	5976	Amuc_1143	CDS	YD repeat protein	TIGRFAM: YD repeat protein; PFAM: YD repeat-containing protein; KEGG: dol:Dole_2050 YD repeat protein	-
1371786	1372364	+	579	Amuc_1144	CDS	hypothetical protein	KEGG: pfa:PFE1180c hypothetical protein	-
1372509	1374116	+	1608	Amuc_1145	CDS	hypothetical protein	KEGG: dol:Dole_2046 YD repeat protein	-
1374701	1375030	+	330	Amuc_1146	CDS	hypothetical protein	KEGG: dol:Dole_2050 YD repeat protein	-
1375379	1376257	+	879	Amuc_1147	CDS	hypothetical protein	-	-
1376515	1376718	+	204	Amuc_1148	CDS	hypothetical protein	-	-
1377253	1377831	+	579	Amuc_1149	CDS	hypothetical protein	-	-
1378898	1379234	+	337	Amuc_1150	pseduogene	pseduogene	-	-
1379940	1381649	+	1710	Amuc_1151	CDS	potassium-transporting ATPase, A subunit	KEGG: bvu:BVU_3267 potassium-transporting ATPase subunit A; TIGRFAM: potassium-transporting ATPase, A subunit; PFAM: K transporting ATPase A subunit	-
1381734	1383767	+	2034	Amuc_1152	CDS	K+-transporting ATPase, B subunit	TIGRFAM: ATPase, P-type (transporting), HAD superfamily, subfamily IC; K+-transporting ATPase, B subunit; PFAM: Haloacid dehalogenase domain protein hydrolase; E1-E2 ATPase-associated domain protein; KEGG: bvu:BVU_3266 potassium-transporting ATPase B chain	-
1383787	1384371	+	585	Amuc_1153	CDS	potassium-transporting ATPase, C subunit	KEGG: bvu:BVU_3265 potassium-transporting ATPase C chain; TIGRFAM: potassium-transporting ATPase, C subunit; PFAM: K transporting ATPase KdpC subunit	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.837) with cleavage site probability 0.814 at residue 41
1384552	1385679	+	1128	Amuc_1154	CDS	Osmosensitive K channel His kinase sensor	PFAM: Osmosensitive K channel His kinase sensor; KEGG: bvu:BVU_3252 osmosensitive K+ channel histidine kinase	-
1386032	1387018	+	987	Amuc_1155	CDS	protein of unknown function DUF323	PFAM: protein of unknown function DUF323; KEGG: hau:Haur_1634 protein of unknown function DUF323	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.996) with cleavage site probability 0.831 at residue 24
1387178	1387390	+	213	Amuc_1156	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.967 at residue 25
1387556	1388395	+	840	Amuc_1157	CDS	beta-lactamase domain protein	PFAM: beta-lactamase domain protein; KEGG: dar:Daro_2878 beta-lactamase-like	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.994 at residue 19
1388421	1389017	+	597	Amuc_1158	CDS	RNA polymerase, sigma-24 subunit, ECF subfamily	TIGRFAM: RNA polymerase sigma factor, sigma-70 family; PFAM: sigma-70 region 4 domain protein; Sigma-70 region 4 type 2; KEGG: rba:RB9852 probable RNA polymerase sigma factor CnrH	-
1389014	1391317	+	2304	Amuc_1159	CDS	serine/threonine protein kinase	PFAM: Serine/threonine protein kinase-related; SMART: tyrosine protein kinase; serine/threonine protein kinase; KEGG: rba:RB6033 serine/threonine protein kinase	-
1391587	1392735	+	1149	Amuc_1160	CDS	aldo/keto reductase	PFAM: aldo/keto reductase; KEGG: bfs:BF2145 putative aldo/keto reductase	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.874 at residue 35
1392964	1393392	-	429	Amuc_1161	CDS	transcriptional regulator, MerR family	PFAM: regulatory protein MerR; KEGG: cbf:CLI_3547 transcriptional regulator, MerR family	-
1393663	1394700	+	1038	Amuc_1162	CDS	Threonine aldolase	PFAM: aromatic amino acid beta-eliminating lyase/threonine aldolase; KEGG: cac:CAC3420 low specificity L-threonine aldolase	-
1394860	1396125	+	1266	Amuc_1163	CDS	hypothetical protein	KEGG: scl:sce7366 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.748) with cleavage site probability 0.542 at residue 26
1396118	1398697	-	2580	Amuc_1164	CDS	von Willebrand factor type A	PFAM: von Willebrand factor type A; KEGG: mxa:MXAN_6470 hypothetical protein	-
1398694	1400421	-	1728	Amuc_1165	CDS	hypothetical protein	KEGG: mxa:MXAN_6472 hypothetical protein	-
1400450	1401319	-	870	Amuc_1166	CDS	hypothetical protein	KEGG: mxa:MXAN_6473 hypothetical protein	-
1401354	1402802	-	1449	Amuc_1167	CDS	hypothetical protein	KEGG: rba:RB9482 hypothetical protein	-
1402799	1403806	-	1008	Amuc_1168	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: rba:RB9477 ABC-type transport protein	-
1403809	1405392	-	1584	Amuc_1169	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.998 at residue 28
1405417	1406442	-	1026	Amuc_1170	CDS	ATPase associated with various cellular activities AAA_3	PFAM: ATPase associated with various cellular activities AAA_3; ATPase associated with various cellular activities AAA_5; SMART: AAA ATPase; KEGG: mxa:MXAN_6477 ATPase, AAA family	-
1406676	1407860	+	1185	Amuc_1171	CDS	protein of unknown function DUF418	PFAM: protein of unknown function DUF405; protein of unknown function DUF418; KEGG: bfs:BF2699 hypothetical protein	-
1408035	1408232	+	198	Amuc_1172	CDS	hypothetical protein	-	-
1408234	1409232	+	999	Amuc_1173	CDS	conserved hypothetical protein	KEGG: rme:Rmet_5238 hypothetical protein	-
1409311	1409994	+	684	Amuc_1174	CDS	hypothetical protein	-	-
1410032	1411084	-	1053	Amuc_1175	CDS	band 7 protein	PFAM: band 7 protein; KEGG: slo:Shew_2728 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.998) with cleavage site probability 0.688 at residue 24
1411344	1412213	+	870	Amuc_1176	CDS	domain of unknown function DUF1731	PFAM: NAD-dependent epimerase/dehydratase; domain of unknown function DUF1731; KEGG: bfr:BF3097 putative sugar nucleotide epimerase	-
1412210	1412719	+	510	Amuc_1177	CDS	Lipocalin family protein	PFAM: Lipocalin family protein; KEGG: vch:VCA0406 lipoprotein Blc	-
1413087	1414067	+	981	Amuc_1178	CDS	ketol-acid reductoisomerase	KEGG: dau:Daud_0354 ketol-acid reductoisomerase; TIGRFAM: ketol-acid reductoisomerase; PFAM: acetohydroxy acid isomeroreductase; NADP oxidoreductase coenzyme F420-dependent; Acetohydroxy acid isomeroreductase catalytic domain protein	-
1414167	1414964	+	798	Amuc_1179	CDS	ABC transporter related	PFAM: ABC transporter related; SMART: AAA ATPase; KEGG: sfu:Sfum_3281 ABC transporter related	-
1414971	1415666	+	696	Amuc_1180	CDS	GntR domain protein	PFAM: regulatory protein GntR HTH; GntR domain protein; KEGG: cbb:CLD_2511 transcriptional regulator, GntR family	-
1415843	1416529	+	687	Amuc_1181	CDS	hypothetical protein	-	-
1416784	1418181	+	1398	Amuc_1182	CDS	sulfatase	PFAM: sulfatase; KEGG: rba:RB348 arylsulfatase B	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.997 at residue 22
1418300	1418668	-	369	Amuc_1183	CDS	hypothetical protein	KEGG: hmo:HM1_0712 septum formation initiator family protein	-
1418697	1419977	-	1281	Amuc_1184	CDS	Phosphopyruvate hydratase	PFAM: enolase; KEGG: bvu:BVU_2641 phosphopyruvate hydratase	-
1420055	1421650	+	1596	Amuc_1185	CDS	aminotransferase class I and II	PFAM: aminotransferase class I and II; KEGG: syf:Synpcc7942_0853 L,L-diaminopimelate aminotransferase	-
1422095	1423039	+	945	Amuc_1186	CDS	ApbE family lipoprotein	PFAM: ApbE family lipoprotein; KEGG: sus:Acid_6143 ApbE family lipoprotein	-
1423063	1424664	+	1602	Amuc_1187	CDS	Alpha-galactosidase	KEGG: bth:BT_3592 alpha-galactosidase precursor	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.998 at residue 22
1425003	1425227	-	225	Amuc_1188	CDS	hypothetical protein	-	-
1425427	1425690	-	264	Amuc_1189	CDS	ribosomal protein L28	PFAM: ribosomal protein L28; KEGG: bga:BG0351 50S ribosomal protein L28	-
1426146	1427147	+	1002	Amuc_1190	CDS	Alcohol dehydrogenase zinc-binding domain protein	PFAM: Alcohol dehydrogenase zinc-binding domain protein; Alcohol dehydrogenase GroES domain protein; KEGG: mxa:MXAN_0845 oxidoreductase, zinc-binding dehydrogenase family	-
1427490	1427915	-	426	Amuc_1191	CDS	Holliday junction resolvase YqgF	PFAM: Holliday junction resolvase YqgF; SMART: Resolvase RNase H domain protein fold; KEGG: sma:SAV6851 hypothetical protein	-
1427912	1428970	-	1059	Amuc_1192	CDS	Mannose-1-phosphate guanylyltransferase (GDP)	PFAM: Nucleotidyl transferase; KEGG: sru:SRU_0567 mannose-1-phosphate guanylyltransferase	-
1429003	1429719	-	717	Amuc_1193	CDS	undecaprenyl diphosphate synthase	KEGG: chy:CHY_1781 undecaprenyl diphosphate synthase; TIGRFAM: undecaprenyl diphosphate synthase; PFAM: Di-trans-poly-cis-decaprenylcistransferase	-
1429742	1431583	-	1842	Amuc_1194	CDS	DNA topoisomerase type IIA subunit B region 2 domain protein	PFAM: ATP-binding region ATPase domain protein; DNA topoisomerase type IIA subunit B region 2 domain protein; SMART: DNA topoisomerase II; KEGG: chu:CHU_1614 DNA topoisomerase IV subunit B	-
1431708	1432556	+	849	Amuc_1195	CDS	4-diphosphocytidyl-2C-methyl-D-erythritolkinase	KEGG: cre:CHLREDRAFT_137673 4-diphosphocytidyl-2-C-methyl-D-erythritol kinase; TIGRFAM: 4-diphosphocytidyl-2C-methyl-D-erythritol kinase; PFAM: GHMP kinase	-
1432620	1433186	+	567	Amuc_1196	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.994 at residue 20
1433207	1435192	+	1986	Amuc_1197	CDS	helicase c2	SMART: helicase c2; KEGG: rba:RB8062 ATP-dependent helicase, DinG family	-
1435200	1435970	-	771	Amuc_1198	CDS	cobalt ABC transporter, ATPase subunit	KEGG: sfu:Sfum_1103 cobalt ABC transporter, ATPase subunit; TIGRFAM: cobalt ABC transporter, ATPase subunit; PFAM: ABC transporter related; SMART: AAA ATPase	-
1435967	1436779	-	813	Amuc_1199	CDS	cobalt ABC transporter, inner membrane subunit CbiQ	TIGRFAM: cobalt ABC transporter, inner membrane subunit CbiQ; PFAM: cobalt transport protein; KEGG: ppd:Ppro_1806 cobalt ABC transporter, inner membrane subunit CbiQ	-
1436788	1437831	-	1044	Amuc_1200	CDS	cobalamin (vitamin B12) biosynthesis CbiM protein	PFAM: cobalamin (vitamin B12) biosynthesis CbiM protein; KEGG: ppd:Ppro_1805 cobalamin (vitamin B12) biosynthesis CbiM protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.843) with cleavage site probability 0.805 at residue 22
1438164	1438448	+	285	Amuc_1201	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.791) with cleavage site probability 0.629 at residue 26
1438464	1438829	-	366	Amuc_1202	CDS	conserved hypothetical protein	KEGG: bth:BT_0869 hypothetical protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.995) with cleavage site probability 0.660 at residue 27
1438840	1439733	-	894	Amuc_1203	CDS	acetylglutamate kinase	TIGRFAM: acetylglutamate kinase; PFAM: aspartate/glutamate/uridylate kinase; KEGG: mja:MJ0069 acetylglutamate kinase	-
1439796	1440788	-	993	Amuc_1204	CDS	Mg2 transporter protein CorA family protein	PFAM: Mg2 transporter protein CorA family protein; KEGG: hne:HNE_2787 magnesium and cobalt transport protein CorA	-
1440958	1441413	-	456	Amuc_1205	CDS	ribosomal protein L9	PFAM: ribosomal protein L9; KEGG: hmo:HM1_0973 50S ribosomal protein L9	-
1441659	1443206	+	1548	Amuc_1206	CDS	phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	KEGG: cau:Caur_2058 phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase; TIGRFAM: phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase; PFAM: MGS domain protein; AICARFT/IMPCHase bienzyme formylation region	-
1443246	1443986	+	741	Amuc_1207	CDS	pyridoxal phosphate biosynthetic protein PdxJ	TIGRFAM: pyridoxal phosphate biosynthetic protein PdxJ; PFAM: Pyridoxal phosphate biosynthetic protein PdxJ; KEGG: csa:Csal_1634 pyridoxal phosphate biosynthetic protein PdxJ	-
1444021	1444407	+	387	Amuc_1208	CDS	holo-acyl-carrier-protein synthase	TIGRFAM: holo-acyl-carrier-protein synthase; PFAM: 4'-phosphopantetheinyl transferase; KEGG: ypg:YpAngola_A3615 holo-(acyl-carrier-protein) synthase	-
1444463	1445212	-	750	Amuc_1209	CDS	hypothetical protein	KEGG: bmu:Bmul_4115 outer membrane autotransporter barrel domain protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.998 at residue 26
1445495	1447321	-	1827	Amuc_1210	CDS	Phosphoenolpyruvate carboxykinase (GTP)	PFAM: phosphoenolpyruvate carboxykinase (GTP); KEGG: gsu:GSU3385 phosphoenolpyruvate carboxykinase	-
1447575	1448246	+	672	Amuc_1211	CDS	N-acetylmuramoyl-L-alanine amidase family 2	PFAM: N-acetylmuramoyl-L-alanine amidase family 2; KEGG: bcy:Bcer98_3449 N-acetylmuramoyl-L-alanine amidase family 2	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.974) with cleavage site probability 0.495 at residue 22
1448260	1450359	+	2100	Amuc_1212	CDS	DEAD/DEAH box helicase domain protein	PFAM: helicase domain protein; nucleic acid binding OB-fold tRNA/helicase-type; type III restriction protein res subunit; DEAD/DEAH box helicase domain protein; SMART: DEAD-like helicases; KEGG: sth:STH1384 ATP-dependent DNA helicase	-
1450497	1450940	+	444	Amuc_1213	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.852 at residue 22
1451048	1453939	-	2892	Amuc_1214	CDS	molybdopterin oxidoreductase, iron-sulfur binding subunit	KEGG: scl:sce7585 molybdopterin oxidoreductase, iron-sulfur binding subunit	-
1454296	1455000	-	705	Amuc_1215	CDS	putative cytochrome c	KEGG: mxa:MXAN_3876 putative cytochrome c	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.984) with cleavage site probability 0.961 at residue 30
1455032	1456309	-	1278	Amuc_1216	CDS	oxidoreductase domain protein	PFAM: oxidoreductase domain protein; KEGG: sus:Acid_6145 oxidoreductase domain protein	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 1.000) with cleavage site probability 0.961 at residue 31
1456607	1457023	+	417	Amuc_1217	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.728) with cleavage site probability 0.439 at residue 24
1457240	1458352	-	1113	Amuc_1218	CDS	3-dehydroquinate synthase	PFAM: 3-dehydroquinate synthase; KEGG: drm:Dred_1021 3-dehydroquinate synthase	-
1458428	1458991	-	564	Amuc_1219	CDS	hypothetical protein	-	-
1459761	1461265	+	1505	Amuc_R0036	rRNA	16S ribosomal RNA	-	-
1461434	1461509	+	76	Amuc_R0037	tRNA	tRNA-Ala	-	-
1461534	1461610	+	77	Amuc_R0038	tRNA	tRNA-Ile	-	-
1461821	1464654	+	2834	Amuc_R0039	rRNA	23S ribosomal RNA	-	-
1464895	1465010	+	116	Amuc_R0040	rRNA	5S ribosomal RNA	-	-
1465151	1467709	+	2559	Amuc_1220	CDS	Alpha-N-acetylglucosaminidase	PFAM: alpha-N-acetylglucosaminidase; KEGG: bth:BT_4359 alpha-N-acetylglucosaminidase precursor	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.997) with cleavage site probability 0.565 at residue 25
1467867	1468286	-	420	Amuc_1221	CDS	hypothetical protein	-	-
1468707	1470575	-	1869	Amuc_1222	CDS	oligopeptide transporter, OPT superfamily	TIGRFAM: oligopeptide transporters, OPT superfamily; PFAM: Oligopeptide transporter OPT superfamily protein; KEGG: mxa:MXAN_2405 oligopeptide transporter, OPT family	-
1470687	1471481	+	795	Amuc_1223	CDS	orotidine 5'-phosphate decarboxylase	TIGRFAM: orotidine 5'-phosphate decarboxylase; PFAM: Orotidine 5'-phosphate decarboxylase; KEGG: bvi:Bcep1808_0601 orotidine 5'-phosphate decarboxylase	-
1471661	1472377	+	717	Amuc_1224	CDS	hypothetical protein	KEGG: tbd:Tbd_0713 periplasmic protein TonB	-
1472399	1474090	+	1692	Amuc_1225	CDS	Inorganic diphosphatase	PFAM: CBS domain containing protein; DHHA2 domain protein; DRTGG domain protein; KEGG: rba:RB7084 putative manganese-dependent inorganic pyrophosphatase	-
1474169	1475209	-	1041	Amuc_1226	CDS	hypothetical protein	KEGG: mva:Mvan_0699 endonuclease/exonuclease/phosphatase	-
1475222	1475536	-	315	Amuc_1227	CDS	conserved hypothetical protein	PFAM: conserved hypothetical protein; KEGG: drm:Dred_0043 conserved hypothetical protein 103	-
1475565	1477763	-	2199	Amuc_1228	CDS	DNA polymerase III, subunits gamma and tau	KEGG: pca:Pcar_0374 DNA polymerase III, gamma/tau subunits; TIGRFAM: DNA polymerase III, subunits gamma and tau; PFAM: AAA ATPase central domain protein; SMART: AAA ATPase	-
1477983	1478759	+	777	Amuc_1229	CDS	hypothetical protein	KEGG: tva:TVAG_355490 viral A-type inclusion protein, putative Pfam: ASD2 Myosin_tail_1 TBPIP BRE1 OmpH DMPK_coil HR1 DUF904 Rad50_zn_hook Exonuc_VII_S Prefoldin_2 Snf7 CDC37_N ATG16 BAR Rab5-bind bZIP_1 EzrA DUF593 TPR_MLP1_2 FlaC_arch Laminin_I Prefoldin GBP_C PspA_IM30 KNOX2 Tropomyosin Macscav_rec DUF1978 Spectrin Cob_adeno_trans Prp19 SMC_Nse1 Apolipoprotein Filament CHASE3 Baculo_PEP_C DREPP HALZ Vicilin_N GRIP PROSITE: ASN_RICH GLU_RICH	-
1478807	1479622	+	816	Amuc_1230	CDS	hypothetical protein	KEGG: cfa:489814 huntingtin interacting protein 1	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.978) with cleavage site probability 0.405 at residue 28
1479984	1480076	+	93	Amuc_R0041	tRNA	tRNA-Ser	-	-
1480161	1480901	-	741	Amuc_1231	CDS	DNA repair protein RadC	PFAM: DNA repair protein RadC; KEGG: dsy:DSY3180 hypothetical protein	-
1480903	1482393	-	1491	Amuc_1232	CDS	carbohydrate kinase, YjeF related protein	TIGRFAM: carbohydrate kinase, YjeF related protein; PFAM: protein of unknown function UPF0031; YjeF-family domain protein; KEGG: cau:Caur_0474 carbohydrate kinase, YjeF related protein	-
1482487	1482681	-	195	Amuc_1233	CDS	translation initiation factor IF-1	TIGRFAM: translation initiation factor IF-1; PFAM: RNA binding S1 domain protein; S1 IF1 family protein; KEGG: prw:PsycPRwf_1932 translation initiation factor IF-1	-
1483238	1483666	+	429	Amuc_1234	CDS	ribosomal protein L13	PFAM: ribosomal protein L13; KEGG: sth:STH3041 50S ribosomal protein L13	-
1483681	1484076	+	396	Amuc_1235	CDS	ribosomal protein S9	PFAM: ribosomal protein S9; KEGG: ooe:OEOE_0629 ribosomal protein S9	-
1484306	1484743	-	438	Amuc_1236	CDS	protein of unknown function DUF163	PFAM: protein of unknown function DUF163; KEGG: ttj:TTHA0228 hypothetical protein	-
1484750	1486246	-	1497	Amuc_1237	CDS	excinuclease ABC C subunit domain protein	PFAM: Excinuclease ABC C subunit domain protein; excinuclease ABC C subunit domain protein; UvrB/UvrC protein; KEGG: rba:RB7010 excinuclease ABC subunit C	-
1486430	1487221	+	792	Amuc_1238	CDS	MotA/TolQ/ExbB proton channel	PFAM: MotA/TolQ/ExbB proton channel; KEGG: sru:SRU_1587 putative biopolymer transport protein	-
1487261	1487707	+	447	Amuc_1239	CDS	Biopolymer transport protein ExbD/TolR	PFAM: Biopolymer transport protein ExbD/TolR; KEGG: rba:RB12053 conserved hypothetical protein-putative export protein ExbD	-
1487749	1490136	+	2388	Amuc_1240	CDS	Tetratricopeptide TPR_2 repeat protein	PFAM: TPR repeat-containing protein; Tetratricopeptide TPR_2 repeat protein; SMART: Tetratricopeptide domain protein; KEGG: sru:SRU_1584 tetratricopeptide repeat family	-
1490161	1491954	+	1794	Amuc_1241	CDS	glycosyl transferase family 51	PFAM: glycosyl transferase family 51; KEGG: chy:CHY_1635 penicillin-binding protein, 1A family	-
1491983	1492747	+	765	Amuc_1242	CDS	Inositol-phosphate phosphatase	PFAM: inositol monophosphatase; KEGG: aba:Acid345_2060 inositol-1(or 4)-monophosphatase	-
1492774	1493283	+	510	Amuc_1243	CDS	2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase	KEGG: sth:STH3122 2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase; TIGRFAM: 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase; PFAM: MECDP-synthase	-
1493533	1494264	-	732	Amuc_1244	CDS	N-acetylmuramoyl-L-alanine amidase family 2	PFAM: N-acetylmuramoyl-L-alanine amidase family 2; KEGG: btk:BT9727_3111 N-acetylmuramoyl-L-alanine amidase	-
1494412	1495332	-	921	Amuc_1245	CDS	Mannose-6-phosphate isomerase	PFAM: mannose-6-phosphate isomerase type I; KEGG: tex:Teth514_1319 mannose-6-phosphate isomerase, class I	-
1495432	1496679	-	1248	Amuc_1246	CDS	hypothetical protein	KEGG: cbd:COXBU7E912_2134 hypothetical protein	-
1496790	1498115	-	1326	Amuc_1247	CDS	Na+/H+ antiporter NhaC	PFAM: Na+/H+ antiporter NhaC; KEGG: bth:BT_1270 putative Na+/H+ antiporter	-
1498142	1499230	-	1089	Amuc_1248	CDS	NAD-dependent epimerase/dehydratase	PFAM: NAD-dependent epimerase/dehydratase; KEGG: bth:BT_1225 GDP-fucose synthetase	-
1499232	1500299	-	1068	Amuc_1249	CDS	GDP-mannose 4,6-dehydratase	TIGRFAM: GDP-mannose 4,6-dehydratase; PFAM: NAD-dependent epimerase/dehydratase; KEGG: bvu:BVU_2652 GDP-mannose 4,6-dehydratase	-
1500452	1501570	-	1119	Amuc_1250	CDS	carbamoyl-phosphate synthase, small subunit	TIGRFAM: carbamoyl-phosphate synthase, small subunit; PFAM: glutamine amidotransferase class-I; Carbamoyl-phosphate synthase small chain; KEGG: dol:Dole_0120 carbamoyl-phosphate synthase, small subunit	-
1501602	1504805	-	3204	Amuc_1251	CDS	carbamoyl-phosphate synthase, large subunit	TIGRFAM: carbamoyl-phosphate synthase, large subunit; PFAM: ATP-dependent carboxylate-amine ligase domain protein ATP-grasp; protein of unknown function DUF201; Carbamoyl-phosphate synthase L chain ATP-binding; Carbamoyl-phosphate synthetase large chain oligomerisation; Carbamoyl-phosphate synthetase large chain domain protein; MGS domain protein; ATP-grasp domain protein; KEGG: gur:Gura_1864 carbamoyl-phosphate synthase, large subunit	-
1505048	1507183	-	2136	Amuc_1252	CDS	glutamine synthetase catalytic region	PFAM: glutamine synthetase catalytic region; KEGG: ppd:Ppro_1682 glutamine synthetase, catalytic region	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.619) with cleavage site probability 0.467 at residue 26
1507579	1512018	+	4440	Amuc_1253	CDS	Glutamate synthase (ferredoxin)	PFAM: glutamine amidotransferase class-II; glutamate synthase alpha subunit domain protein; ferredoxin-dependent glutamate synthase; glutamate synthase; KEGG: aba:Acid345_3680 glutamate synthase (ferredoxin)	-
1512812	1514698	-	1887	Amuc_1254	CDS	60 kDa inner membrane insertion protein	PFAM: 60 kDa inner membrane insertion protein; KEGG: sfu:Sfum_2597 60 kDa inner membrane insertion protein	-
1514755	1515003	-	249	Amuc_1255	CDS	protein of unknown function DUF37	PFAM: protein of unknown function DUF37; KEGG: dar:Daro_4202 protein of unknown function DUF37	-
1515000	1515347	-	348	Amuc_1256	CDS	ribonuclease P protein component	TIGRFAM: ribonuclease P protein component; PFAM: ribonuclease P protein; KEGG: dsy:DSY5059 ribonuclease P protein component	-
1515436	1515621	-	186	Amuc_1257	CDS	ribosomal protein L34	PFAM: ribosomal protein L34; KEGG: pca:Pcar_3146 ribosomal protein L34	-
1515832	1517943	-	2112	Amuc_1258	CDS	glutamine synthetase catalytic region	PFAM: glutamine synthetase catalytic region; KEGG: ppd:Ppro_1682 glutamine synthetase, catalytic region	-
1518353	1520530	+	2178	Amuc_1259	CDS	lipolytic protein G-D-S-L family	PFAM: lipolytic protein G-D-S-L family; KEGG: sus:Acid_2651 putative O-antigen related protein	-
1520651	1522081	+	1431	Amuc_1260	CDS	glycoside hydrolase family 37	PFAM: glycoside hydrolase family 37; KEGG: sde:Sde_0838 hypothetical protein	-
1522293	1523147	-	855	Amuc_1261	CDS	Aldose 1-epimerase	PFAM: Aldose 1-epimerase; KEGG: xac:XAC4296 epimerase	-
1523144	1523782	-	639	Amuc_1262	CDS	pyridoxamine 5'-phosphate oxidase	KEGG: abu:Abu_1541 pyridoxamine 5'-phosphate oxidase; TIGRFAM: pyridoxamine 5'-phosphate oxidase; PFAM: pyridoxamine 5'-phosphate oxidase-related FMN-binding	-
1523804	1524667	-	864	Amuc_1263	CDS	nicotinate-nucleotide pyrophosphorylase	KEGG: sfu:Sfum_0193 nicotinate-nucleotide pyrophosphorylase; TIGRFAM: nicotinate-nucleotide pyrophosphorylase; PFAM: Quinolinate phosphoribosyl transferase	-
1524683	1525576	-	894	Amuc_1264	CDS	Polyprenyl synthetase	PFAM: Polyprenyl synthetase; KEGG: hmo:HM1_0293 geranylgeranyl pyrophosphate synthase	-
1525615	1526625	-	1011	Amuc_1265	CDS	aspartate-semialdehyde dehydrogenase	TIGRFAM: aspartate-semialdehyde dehydrogenase; PFAM: Semialdehyde dehydrogenase NAD - binding; Semialdehyde dehydrogenase dimerisation region; KEGG: sfu:Sfum_3032 aspartate-semialdehyde dehydrogenase	-
1526791	1527453	-	663	Amuc_1266	CDS	hypothetical protein	KEGG: cpv:cgd2_3550 hypothetical low complexity protein	-
1527967	1528656	-	690	Amuc_1267	CDS	hypothetical protein	-	Signal predicted by SignalP 3.0 HMM (Signal peptide probability 0.999) with cleavage site probability 0.859 at residue 22
1528758	1530137	-	1380	Amuc_1268	CDS	L-serine dehydratase 1	KEGG: pen:PSEEN4437 L-serine deaminase I; TIGRFAM: L-serine dehydratase 1; PFAM: serine dehydratase alpha chain; serine dehydratase beta chain	-
1530208	1531137	-	930	Amuc_1269	CDS	thioredoxin reductase	TIGRFAM: thioredoxin reductase; PFAM: FAD-dependent pyridine nucleotide-disulphide oxidoreductase; glucose-inhibited division protein A; KEGG: bba:Bd0373 hypothetical protein	-
